"","Plot","SampleYear","BurnScar","PRam","PlotCwdMass"
"273","BS277",2009,"dolan_chalk",1,7.19611552795024
"274","BS277",2021,"dolan_chalk",1,4.94017936771524
"275","BS278",2021,"dolan_chalk",1,24.5875485564133
"276","BS279",2009,"dolan_chalk",0,21.3390895414679
"277","BS279",2021,"dolan_chalk",0,56.9598048283252
"278","BS282",2019,"dolan_chalk",1,37.0387646802825
"279","BS283",2010,"chalk",1,17.6843614039984
"280","BS283",2013,"chalk",1,55.0822294375067
"281","BS283",2018,"chalk",1,45.3236036077972
"282","BS283",2022,"chalk",1,41.699560714549
"283","BS295",2009,"dolan",0,42.8922970867781
"284","BS295",2010,"dolan",0,44.2017529417967
"285","BS295",2013,"dolan",0,44.414348663552
"286","BS295",2018,"dolan",1,44.0542095959256
"287","BS295",2021,"dolan",1,7.65905102515732
"288","BS296",2009,"dolan_chalk",0,5.92918334975079
"289","BS296",2021,"dolan_chalk",0,18.5064231521146
"290","BS297",2009,"dolan_chalk",1,28.1331414802331
"291","BS297",2010,"dolan_chalk",1,28.1331414802331
"292","BS297",2013,"dolan_chalk",1,35.1464826437279
"293","BS297",2018,"dolan_chalk",1,99.4248690521224
"294","BS299",2009,"dolan_chalk",0,35.3396326303321
"295","BS299",2021,"dolan_chalk",0,4.31932385151413
"296","BS301",2010,"dolan_chalk",1,1.14286619896759
"297","BS301",2013,"dolan_chalk",1,8.75733667709128
"298","BS301",2018,"dolan_chalk",1,57.6619190781243
"299","BS301",2021,"dolan_chalk",1,1.74973919174408
"300","BS303",2021,"dolan_chalk",1,6.20348716945859
"301","BS303",2021,"dolan_chalk",1,6.20348716945859
"302","BS304",2011,"dolan_chalk",1,0.46793894350134
"303","BS304",2014,"dolan_chalk",1,0.27987681315
"304","BS306",2019,"dolan_chalk",1,17.2747596256383
"305","BS306",2019,"dolan_chalk",1,17.2747596256383
"306","BS312",2014,"control",1,5.21868196988939
"307","BS312",2019,"control",1,23.0369318772541
"308","BS312",2022,"control",1,26.8963975878039
"309","BS313",2010,"control",1,299.56948480844
"310","BS313",2013,"control",1,304.146327486077
"311","BS313",2018,"control",1,321.526942985355
"312","BS313",2022,"control",1,338.043666681232
"313","BS315",2009,"control",0,8.09935367622427
"314","BS315",2011,"control",1,8.09935367622427
"315","BS315",2014,"control",1,9.18870671080073
"316","BS316",2011,"control",1,7.31489657391881
"317","BS316",2014,"control",1,5.74066279856311
"318","BS316",2019,"control",1,11.3266819799585
"319","BS316",2022,"control",1,29.42917547178
"320","BS323",2009,"control",0,0.305761610437815
"321","BS323",2009,"control",0,0.305761610437815
"322","BS323",2011,"control",1,0.305761610437815
"323","BS323",2011,"control",1,0.305761610437815
"324","BS323",2014,"control",1,0.305761610437815
"325","BS323",2014,"control",1,0.305761610437815
"326","BS326",2009,"control",1,3.35004755989549
"327","BS326",2011,"control",1,4.18892315361908
"328","BS326",2014,"control",1,4.18892315361908
"329","BS328",2009,"control",0,0.634660590274929
"330","BS328",2011,"control",1,2.38452307262624
"331","BS328",2014,"control",1,7.34800103081579
"332","BS328",2019,"control",1,10.4558781337602
"333","BS328",2022,"control",1,38.4090268903848
"334","BS355",2009,"sober_chalk",0,1.22475918554459
"335","BS355",2010,"sober_chalk",0,1.22475918554459
"336","BS355",2010,"sober_chalk",0,1.22475918554459
"337","BS355",2013,"sober_chalk",0,3.03256380509638
"338","BS355",2013,"sober_chalk",0,3.03256380509638
"339","BS355",2018,"sober_chalk",0,19.3457403750616
"340","BS355",2018,"sober_chalk",0,19.3457403750616
"341","BS355",2023,"sober_chalk",0,21.1287889753927
"342","BS355",2023,"sober_chalk",0,21.1287889753927
"343","BS360",2009,"sober_chalk",0,20.9777425169624
"344","BS360",2009,"sober_chalk",0,20.9777425169624
"345","BS360",2011,"sober_chalk",0,20.9777425169624
"346","BS360",2011,"sober_chalk",0,20.9777425169624
"347","BS360",2011,"sober_chalk",0,20.9777425169624
"348","BS360",2014,"sober_chalk",0,68.7301246794431
"349","BS372",2009,"chalk",1,15.9790974127119
"350","BS373",2009,"chalk",1,14.1201538699075
"351","BS373",2022,"chalk",1,38.5682066741435
"352","BS378",2022,"chalk",1,22.5485545372454
"353","BS379",2009,"chalk",1,98.3702611788024
"354","BS382",2021,"dolan_chalk",1,3.73700675182831
"355","BS383",2009,"dolan",1,45.6313251843916
"356","BS383",2011,"dolan",1,48.6174487215924
"357","BS383",2014,"dolan",1,53.6013044384206
"358","BS383",2019,"dolan",1,89.9862805670696
"359","BS383",2021,"dolan",1,8.60518624002295
"360","BS388",2018,"dolan",1,35.0734097005072
"361","BS388",2021,"dolan",1,24.0256188003986
"362","BS389",2021,"dolan",0,20.6381434345615
"363","BS390",2009,"sober_chalk",0,8.71015834235103
"364","BS390",2010,"sober_chalk",0,7.77039946860224
"365","BS390",2013,"sober_chalk",0,3.52639106682075
"366","BS390",2018,"sober_chalk",1,6.48092665488621
"367","BS390",2022,"sober_chalk",1,32.762452104685
"368","BS391",2010,"dolan",1,56.7881187697637
"369","BS391",2013,"dolan",1,47.0999562159771
"370","BS391",2018,"dolan",1,47.0999562159771
"371","BS391",2021,"dolan",1,19.3671222097975
"372","BS392",2009,"dolan",0,25.3505140950725
"373","BS392",2010,"dolan",1,26.1887452303604
"374","BS392",2013,"dolan",1,31.3822978736027
"375","BS392",2018,"dolan",1,31.3822978736027
"376","BS392",2021,"dolan",1,5.11747202707482
"377","BS394",2016,"dolan",1,5.28163305009337
"378","BS394",2018,"dolan",1,5.19024712139695
"379","BS405",2021,"dolan_chalk",0,36.6621862097001
"380","BS407",2009,"dolan",0,52.4215090907382
"381","BS407",2010,"dolan",0,86.5092603996879
"382","BS407",2013,"dolan",0,38.8655735873577
"383","BS407",2018,"dolan",1,71.7753231985621
"384","BS407",2021,"dolan",1,17.961183952646
"385","BS412",2022,"control",1,0.603469323107279
"386","BS415",2011,"dolan",0,1.59180154060293
"387","BS415",2014,"dolan",1,49.3405059757843
"388","BS415",2019,"dolan",1,35.4675065110533
"389","BS415",2021,"dolan",1,44.4967542873723
"390","BS416",2010,"dolan",0,84.5854832206789
"391","BS416",2013,"dolan",0,87.4608235032417
"392","BS416",2018,"dolan",0,87.4608235032417
"393","BS420",2021,"dolan_chalk",0,21.8430621518904
"394","BS423",2009,"dolan_chalk",0,6.48858459205724
"395","BS423",2021,"dolan_chalk",0,14.1332229381706
"396","BS426",2009,"dolan_chalk",0,3.90596177192913
"397","BS426",2010,"dolan_chalk",0,2.09577777797389
"398","BS426",2013,"dolan_chalk",0,20.7328502100548
"399","BS426",2018,"dolan_chalk",0,11.8106592934685
"400","BS426",2021,"dolan_chalk",0,4.88575502482522
"401","BS427",2019,"sober",1,60.3210687181715
"402","BS427",2019,"sober",1,60.3210687181715
"403","BS427",2023,"sober",1,71.768397160702
"404","BS427",2023,"sober",1,71.768397160702
"405","BS429",2009,"sober",1,14.7473690409052
"406","BS429",2010,"sober",1,31.7473723116
"407","BS429",2013,"sober",1,31.923542191661
"408","BS429",2018,"sober",1,84.4262906817941
"409","BS429",2022,"sober",1,88.2099209236418
"410","BS433",2009,"sober_chalk",1,6.28136422804994
"411","BS433",2010,"sober_chalk",1,6.28136422804994
"412","BS433",2013,"sober_chalk",1,7.31191733671774
"413","BS433",2018,"sober_chalk",1,73.4221862986938
"414","BS433",2022,"sober_chalk",1,96.5424199569794
"415","BS438",2009,"sober_chalk",1,27.2752290622235
"416","BS438",2011,"sober_chalk",1,29.4241578935007
"417","BS438",2014,"sober_chalk",1,26.9484104245113
"418","BS438",2019,"sober_chalk",1,10.1215802977719
"419","BS438",2022,"sober_chalk",1,36.9959399515657
"420","BS457",2009,"chalk",1,55.9428584777081
"421","BS457",2010,"chalk",1,62.3976992432757
"422","BS457",2013,"chalk",1,77.6039800472815
"423","BS457",2018,"chalk",1,69.9153413605989
"424","BS457",2022,"chalk",1,41.0249722669271
"425","BS458",2009,"dolan_chalk",1,0.269339461076299
"426","BS458",2009,"dolan_chalk",1,0.269339461076299
"427","BS458",2011,"dolan_chalk",1,0.269339461076299
"428","BS458",2011,"dolan_chalk",1,0.269339461076299
"429","BS458",2014,"dolan_chalk",1,2.1360848775129
"430","BS458",2019,"dolan_chalk",1,1.64286971026751
"431","BS458",2021,"dolan_chalk",1,26.3463311079461
"432","BS458",2021,"dolan_chalk",1,26.3463311079461
"433","BS478",2021,"dolan_chalk",1,7.36991177103074
"434","BS478",2021,"dolan_chalk",1,7.36991177103074
"435","BS478",2021,"dolan_chalk",1,7.36991177103074
"436","BS494",2010,"control",1,11.4896814513003
"437","BS494",2013,"control",1,11.4896814513003
"438","BS494",2018,"control",1,10.3656584113423
"439","BS494",2022,"control",1,11.0967243165764
"440","BS499",2011,"control",0,2.51256356698795
"441","BS499",2014,"control",0,2.51256356698795
"442","BS499",2019,"control",1,1.58388989916997
"443","BS499",2022,"control",1,1.58388989916997
"444","BS513",2009,"dolan",0,13.855805922956
"445","BS513",2011,"dolan",1,13.7667875805147
"446","BS513",2014,"dolan",1,18.41102611307
"447","BS513",2019,"dolan",1,44.8737828794272
"448","BS513",2021,"dolan",1,12.8844010325911
"449","BS520",2011,"control",1,3.65443337809004
"450","BS520",2014,"control",1,9.75711719287476
"451","BS520",2022,"control",1,14.2773506369293
"452","BS521",2009,"chalk",1,4.01783721308639
"453","BS521",2018,"chalk",1,79.8332540888854
"454","BS521",2022,"chalk",1,53.3762647597477
"455","BS600",2023,"sober",1,36.4306316831077
"456","BS601",2009,"sober",1,35.4156954544224
"457","BS601",2010,"sober",1,23.4208679227163
"458","BS601",2013,"sober",1,38.5391089929724
"459","BS603",2009,"sober",1,181.040041634565
"460","BS603",2010,"sober",1,181.865547061281
"461","BS603",2013,"sober",1,203.218527649674
"462","BS603",2018,"sober",1,6.74459145527969
"463","BS603",2022,"sober",1,24.0183778394202
"464","BS603",2022,"sober",1,24.0183778394202
"465","BS604",2018,"sober",1,3.14754333258357
"466","BS610",2009,"dolan_chalk",0,48.1310398282756
"467","BS611",2009,"dolan_chalk",1,4.38525129575533
"468","BS611",2010,"dolan_chalk",1,13.7464706487296
"469","BS611",2013,"dolan_chalk",1,19.4067157934608
"470","BS611",2018,"dolan_chalk",1,19.2389468886892
"471","BS611",2021,"dolan_chalk",1,4.49505741839577
"472","BS612",2009,"dolan_chalk",1,11.1119773203741
"473","BS612",2021,"dolan_chalk",1,1.76122674766984
"474","BS613",2009,"dolan_chalk",1,4.08878779318378
"475","BS613",2018,"dolan_chalk",1,25.913565317494
"476","BS613",2021,"dolan_chalk",1,1.65956306802135
"477","BS627",2009,"chalk",1,15.0435021343715
"478","BS629",2009,"chalk",1,6.67119262210844
"479","BS629",2018,"chalk",1,39.4303921430712
"480","BS632",2009,"sober_chalk",0,122.329655283994
"481","BS632",2018,"sober_chalk",0,28.6370795868094
"482","BS632",2023,"sober_chalk",0,8.25452097109746
"483","BS633",2011,"sober_chalk",1,0.340984091387379
"484","BS633",2014,"sober_chalk",1,0.272603389861093
"485","BS633",2019,"sober_chalk",1,32.5028516048441
"486","BS633",2023,"sober_chalk",1,29.9912730285438
"487","BS247",2020,NA,NA,3.98140963904577
