"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass"
"114","BS134",2023,"Tanoak",3,30.0422547743866,513,27,"sober","1","1",1.9949708340597,3.17762021089248
"115","BS134",2023,"Redwood",19,343835.050886487,513,27,"sober","1","1",1.9949708340597,3.17762021089248
"116","BS134",2023,"Bay laurel",2,92.0559174322189,513,27,"sober","1","1",1.9949708340597,3.17762021089248
"117","BS140",2013,"Tanoak",11,2701.49798212878,293,15,"sober","1","0",4.5890763146368,4.5890763146368
"118","BS140",2013,"Redwood",23,1731234.92867556,293,15,"sober","1","0",4.5890763146368,4.5890763146368
"119","BS140",2013,"Bay laurel",6,22547.1410096769,293,15,"sober","1","0",4.5890763146368,4.5890763146368
"120","BS140",2018,"Tanoak",1,1860.34497357734,293,15,"sober","1","1",7.90420643620094,99.4741710226665
"121","BS140",2018,"Redwood",16,1115447.55069881,293,15,"sober","1","1",7.90420643620094,99.4741710226665
"122","BS140",2018,"Bay laurel",5,19075.1725789206,293,15,"sober","1","1",7.90420643620094,99.4741710226665
"123","BS140",2022,"Tanoak",9,79.1780644305219,293,15,"sober","1","1",5.34136818419219,99.7752083702444
"124","BS140",2022,"Redwood",13,1102841.86778922,293,15,"sober","1","1",5.34136818419219,99.7752083702444
"125","BS140",2022,"Bay laurel",6,19140.0100276393,293,15,"sober","1","1",5.34136818419219,99.7752083702444
"126","BS141",2009,"Tanoak",24,628.465279104533,276,40,"sober","1","0",21.4543852960858,21.4543852960858
"127","BS141",2011,"Tanoak",50,34254.1749905448,276,40,"sober","1","0",41.918151434954,41.918151434954
"128","BS141",2014,"Tanoak",54,1472.22272358658,276,40,"sober","1","0",43.1679431796769,43.1679431796769
"129","BS141",2014,"Bay laurel",1,4.93296744201325,276,40,"sober","1","0",43.1679431796769,43.1679431796769
"130","BS146",2009,"Tanoak",2,24.4622769888089,704,35,"sober","1","0",1.77908086380498,1.77908086380498
"131","BS146",2009,"Bay laurel",4,129.971882727335,704,35,"sober","1","0",1.77908086380498,1.77908086380498
"132","BS146",2011,"Tanoak",11,5984.76814429257,704,35,"sober","1","0",17.6682185122125,17.6682185122125
"133","BS146",2011,"Bay laurel",40,91571.5873462017,704,35,"sober","1","0",17.6682185122125,17.6682185122125
"134","BS146",2014,"Tanoak",9,1422.64214185006,704,35,"sober","1","0",26.5149816245995,26.5149816245995
"135","BS146",2014,"Bay laurel",40,99816.2017225457,704,35,"sober","1","0",26.5149816245995,26.5149816245995
"136","BS147",2009,"Tanoak",4,41.1988298022048,399,36,"sober","1","0",3.15403773956401,52.9124809024231
"137","BS147",2009,"Bay laurel",1,10416.3318854392,399,36,"sober","1","0",3.15403773956401,52.9124809024231
"138","BS147",2010,"Tanoak",38,7698.88221022422,399,36,"sober","1","0",3.15900907050968,52.9174522333687
"139","BS147",2010,"Redwood",7,400462.402808106,399,36,"sober","1","0",3.15900907050968,52.9174522333687
"140","BS147",2010,"Bay laurel",6,49293.6569759546,399,36,"sober","1","0",3.15900907050968,52.9174522333687
"141","BS147",2013,"Tanoak",31,2436.87994658243,399,36,"sober","1","0",10.8434362876659,61.5164945480983
"142","BS147",2013,"Redwood",7,396790.16605449,399,36,"sober","1","0",10.8434362876659,61.5164945480983
"143","BS147",2013,"Bay laurel",6,49346.0164284874,399,36,"sober","1","0",10.8434362876659,61.5164945480983
"144","BS147",2018,"Tanoak",1,723.719862286844,399,36,"sober","1","1",3.84103544187457,12.733386686427
