system:index,Plot,grtgroup,.geo
00000000000000000095_0,BS251,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,BS253,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,BS254,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0,BS257,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0,BS259,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0,BS260,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,BS262,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,BS265,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,BS267,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,BS271,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0,BS272,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,BS273,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_0,BS274,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,BS276,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_0,BS277,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4_0,BS278,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,BS279,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,BS281,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_0,BS282,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_0,BS283,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,BS287,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_0,BS292,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,BS293,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,BS294,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,BS295,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_0,BS296,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_0,BS297,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,BS299,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_0,BS301,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2_0,BS303,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3_0,BS304,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4_0,BS306,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,BS309,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6_0,BS310,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7_0,BS312,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8_0,BS313,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9_0,BS315,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba_0,BS316,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb_0,BS317,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc_0,BS320,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,BS321,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0,BS322,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_0,BS323,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,BS324,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_0,BS326,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,BS328,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,BS330,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4_0,BS331,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_0,BS333,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6_0,BS334,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,BS335,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8_0,BS338,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9_0,BS355,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,BS358,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0,BS359,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0,BS360,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0,BS365,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,BS372,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0,BS373,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,BS376,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0,BS378,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2_0,BS379,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3_0,BS382,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4_0,BS383,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5_0,BS384,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0,BS388,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0,BS389,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8_0,BS390,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9_0,BS391,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0,BS392,215,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db_0,BS393,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc_0,BS394,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd_0,BS399,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000de_0,BS405,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,BS407,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e0_0,BS408,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
