"","CwdId","Plot","SampleYear","Fire","PRam","Species","DecayClass","Mass","tInit","t","Mass0","Y"
"241",266,"BS194",2014,1,1,"Tanoak",3,0.0228959968362149,2014,0,0.0228959968362149,0
"242",267,"BS194",2014,1,1,"Tanoak",3,0.347424338013711,2014,0,0.347424338013711,0
"243",268,"BS194",2014,1,1,"Tanoak",3,0.0408603164591557,2014,0,0.0408603164591557,0
"244",270,"BS194",2014,1,1,"Bay laurel",1,0.0450601568748751,2011,3,0.0450601568748751,0
"245",271,"BS194",2014,1,1,"Bay laurel",1,0.0709642895211678,2011,3,0.0709642895211678,0
"246",272,"BS195",2014,1,1,"Tanoak",2,0.13316766219091,2009,5,0.177556882921213,-0.287682072451781
"247",273,"BS195",2014,1,1,"Tanoak",2,0.0431763015667917,2014,0,0.0431763015667917,0
"248",324,"BS232",2014,1,1,"Bay laurel",2,0.249792062447216,2011,3,0.249792062447216,0
"249",762,"BS233",2014,1,1,"Bay laurel",1,0.310478522176195,2014,0,0.310478522176195,0
"250",763,"BS233",2014,1,1,"Bay laurel",1,0.192896402734028,2014,0,0.192896402734028,0
"251",765,"BS233",2014,1,1,"Bay laurel",1,0.0342069251845182,2014,0,0.0342069251845182,0
"252",402,"BS316",2014,0,1,"Tanoak",2,0.10014910603675,2011,3,0.10014910603675,0
"253",403,"BS316",2014,0,1,"Tanoak",2,0.0122631558412347,2011,3,0.0122631558412347,0
"254",408,"BS326",2014,0,1,"Bay laurel",1,0.162265450288401,2011,3,0.162265450288401,0
"255",409,"BS328",2014,0,1,"Tanoak",3,0.0191452710387034,2009,5,0.0191452710387034,0
"256",215,"BS165",2018,1,0,"Tanoak",3,0.0747253033586151,2018,0,0.0747253033586151,0
"257",217,"BS165",2018,1,0,"Redwood",3,0.1261688663947,2018,0,0.1261688663947,0
"258",218,"BS165",2018,1,0,"Redwood",2,0.115888429596876,2009,9,0.118938125112584,-0.0259754864032623
"259",219,"BS165",2018,1,0,"Redwood",3,0.011994916395,2018,0,0.011994916395,0
"260",220,"BS165",2018,1,0,"Redwood",2,0.104612180427549,2009,9,0.10887412991075,-0.0399324509724028
"261",221,"BS165",2018,1,0,"Redwood",3,0.04714002143235,2009,9,0.142739171314226,-1.10789663580405
"262",222,"BS165",2018,1,0,"Redwood",2,5.824489395e-05,2009,9,0.0619469401628042,-6.96937706269939
"263",223,"BS165",2018,1,0,"Redwood",3,0.0097849439198,2018,0,0.0097849439198,0
"264",893,"BS168",2018,1,1,"Tanoak",1,2.62560972590392,2018,0,2.62560972590392,0
"265",894,"BS168",2018,1,1,"Redwood",1,0.61158342601492,2018,0,0.61158342601492,0
"266",895,"BS168",2018,1,1,"Tanoak",2,0.264760339796364,2018,0,0.264760339796364,0
