"","Plot","SampleYear","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"41","BS073",2011,601,10,"dolan",1,0,2.31997798857592,21.8143084968919,5835.00065900349
"42","BS073",2014,601,10,"dolan",1,0,2.31997798857592,22.9137775696086,9843.41318986908
"43","BS073",2019,601,10,"dolan",1,0,2.31997798857592,19.8806926844972,NA
"44","BS073",2021,601,10,"dolan",1,1,0.657235228621226,0.657235228621226,9807.66561385873
"45","BS078",2023,605,27,"sober",1,1,3.45730095630054,21.760154549212,20446.9162843263
"46","BS081",2018,308,23,"sober",1,1,30.0555961218739,30.3543963522236,79185.637272925
"47","BS081",2023,308,23,"sober",1,1,32.0355575203222,43.8515249422475,NA
"48","BS084",2010,432,36,"sober",1,0,9.13282474107188,9.13282474107188,75174.6691124206
"49","BS084",2013,432,36,"sober",1,0,17.4404522743583,17.4404522743583,77017.2513143299
"50","BS084",2018,432,36,"sober",1,1,10.1698905203025,10.1698905203025,1134.17553681668
"51","BS084",2022,432,36,"sober",1,1,1.43100637389599,2.70765240008464,NA
"52","BS085",2011,505,30,"sober",1,0,13.621035331426,47.8644330873768,215079.716258567
"53","BS085",2014,505,30,"sober",1,0,22.7750570845957,57.0184548405464,187741.794837723
"54","BS085",2019,505,30,"sober",1,1,2.09491743262808,5.43738096411949,22100.9796887013
"55","BS085",2022,505,30,"sober",1,1,3.53014834635844,6.87261187784984,NA
"56","BS086",2018,578,28,"sober",1,1,3.28281304994149,3.28281304994149,2294.23213355051
"57","BS086",2018,578,28,"sober",1,1,3.28281304994149,3.28281304994149,2294.23213355051
"58","BS086",2023,578,28,"sober",1,1,2.66996509640927,4.29095093780433,NA
"59","BS094",2009,771,27,"sober",1,0,5.16773849501796,6.19049387111521,NA
"60","BS098",2018,478,39,"sober",1,1,1.1176861613468,17.3155911688418,74797.839149716
"61","BS098",2023,478,39,"sober",1,1,30.6124487737935,46.8103537812885,10257.79939999
"62","BS122",2019,742,29,"sober",1,1,1.9349864846222,5.88379344715246,3222.08965344134
"63","BS122",2019,742,29,"sober",1,1,1.9349864846222,5.88379344715246,3222.08965344134
"64","BS126",2009,297,30,"control",1,0,0.942757982003521,0.942757982003521,NA
"65","BS126",2011,297,30,"control",1,0,0.87696928526443,0.87696928526443,NA
"66","BS126",2014,297,30,"control",1,0,0.87696928526443,0.87696928526443,NA
"67","BS132",2019,538,30,"sober_chalk",1,1,23.9168937615048,28.8836337007718,7229.4808824805
"68","BS132",2019,538,30,"sober_chalk",1,1,23.9168937615048,28.8836337007718,7229.4808824805
"69","BS132",2022,538,30,"sober_chalk",1,1,22.4027104503463,26.0538851422814,34347.2494614412
"70","BS132",2022,538,30,"sober_chalk",1,1,22.4027104503463,26.0538851422814,34347.2494614412
"71","BS132",2022,538,30,"sober_chalk",1,1,22.4027104503463,26.0538851422814,34347.2494614412
"72","BS134",2023,513,27,"sober",1,1,1.9949708340597,3.17762021089248,NA
"73","BS138",2009,291,26,"control",1,0,8.66301379206493,8.66301379206493,NA
"74","BS140",2013,293,15,"sober",1,0,4.5890763146368,4.5890763146368,56215.3705373148
"75","BS140",2018,293,15,"sober",1,1,7.90420643620094,99.4741710226665,1199.96819646201
"76","BS140",2022,293,15,"sober",1,1,5.34136818419219,99.7752083702444,1748.16644503736
"77","BS141",2009,276,40,"sober",1,0,21.4543852960858,21.4543852960858,11.8639948705242
"78","BS141",2011,276,40,"sober",1,0,41.918151434954,41.918151434954,338660.18167225
"79","BS141",2014,276,40,"sober",1,0,43.1679431796769,43.1679431796769,309210.406227875
"80","BS146",2009,704,35,"sober",1,0,1.77908086380498,1.77908086380498,2221.91075022728
"81","BS146",2011,704,35,"sober",1,0,17.6682185122125,17.6682185122125,21925.1164405611
"82","BS146",2014,704,35,"sober",1,0,26.5149816245995,26.5149816245995,9105.2086119685
"83","BS147",2009,399,36,"sober",1,0,3.15403773956401,52.9124809024231,16.594369359942
"84","BS147",2010,399,36,"sober",1,0,3.15900907050968,52.9174522333687,20932.5443020316
"85","BS147",2013,399,36,"sober",1,0,10.8434362876659,61.5164945480983,18942.2585215006
"86","BS147",2018,399,36,"sober",1,1,3.84103544187457,12.733386686427,2062.24463366591
"87","BS147",2022,399,36,"sober",1,1,2.43922524662687,36.9487797433225,NA
"88","BS148",2019,870,28,"sober",1,1,0.963562277404629,1.81914533347208,89988.271152464
"89","BS148",2019,870,28,"sober",1,1,0.963562277404629,1.81914533347208,89988.271152464
"90","BS148",2023,870,28,"sober",1,1,1.42859910534918,40.742427539893,NA
"91","BS148",2023,870,28,"sober",1,1,1.42859910534918,40.742427539893,NA
"92","BS158",2009,635,13,"sober_chalk",0,1,5.42432335879858,61.6271863945137,101.651264364063
"93","BS158",2011,635,13,"sober_chalk",0,1,7.90630594469032,64.1091689804054,23409.1403590201
"94","BS158",2014,635,13,"sober_chalk",0,1,7.3911351438814,63.5939981795965,21402.0917194052
"95","BS158",2019,635,13,"sober_chalk",1,1,18.9388309078541,23.44163531375,58289.6106915811
"96","BS158",2022,635,13,"sober_chalk",1,1,18.9388309078541,26.7166264408257,NA
"97","BS159",2009,250,28,"sober",1,0,24.8170252433394,40.8188031523675,NA
"98","BS159",2018,250,28,"sober",1,1,5.01338383460233,5.01338383460233,107538.956328409
"99","BS159",2023,250,28,"sober",1,1,59.5905188023172,85.2342469867595,70580.6692224861
"100","BS160",2013,386,38,"sober_chalk",0,1,12.0257392900829,13.3643773392288,18155.5878591139
"101","BS160",2018,386,38,"sober_chalk",0,1,9.06708203502367,123.089571311346,2319.09307283779
"102","BS160",2022,386,38,"sober_chalk",0,1,9.06708203502367,123.089571311346,NA
"103","BS165",2009,287,10,"sober_chalk",0,1,13.5509957974693,28.6014065551974,16.0657301007665
"104","BS165",2010,287,10,"sober_chalk",0,1,13.79168996421,30.372532901243,5040.99260645165
"105","BS165",2013,287,10,"sober_chalk",0,1,7.79235153426256,25.107732196427,3049.72355740799
"106","BS165",2018,287,10,"sober_chalk",0,1,1.4945060671723,20.9602892195724,67957.5933790769
"107","BS165",2022,287,10,"sober_chalk",0,1,65.8077199785792,83.0544842095666,158500.263935326
"108","BS166",2023,352,25,"sober_chalk",0,1,5.2976863309336,5.2976863309336,51614.9722885429
"109","BS168",2009,317,35,"sober_chalk",1,1,16.2967700247636,26.6896395900137,NA
"110","BS168",2018,317,35,"sober_chalk",1,1,90.5693298689205,102.800998389219,2989.04973916801
"111","BS168",2023,317,35,"sober_chalk",1,1,80.5524529765795,92.7841214968779,NA
