system:index,Plot,b0,b10,b30,.geo
00000000000000000078_0,BS207,6,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0,BS210,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0,BS217,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,BS218,6,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,BS219,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,BS220,5,5,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,BS221,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,BS222,7,8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,BS223,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,BS224,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,BS226,8,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,BS228,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,BS229,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,BS230,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,BS232,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087_0,BS233,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_0,BS234,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,BS236,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,BS239,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,BS240,7,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,BS241,10,8,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_0,BS242,9,8,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e_0,BS243,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_0,BS244,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090_0,BS245,6,5,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,BS246,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_0,BS247,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_0,BS248,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,BS249,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095_0,BS251,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,BS253,8,8,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,BS254,8,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0,BS257,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099_0,BS259,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a_0,BS260,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,BS262,8,6,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c_0,BS265,6,5,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d_0,BS267,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,BS271,4,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f_0,BS272,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,BS273,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1_0,BS274,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,BS276,8,8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3_0,BS277,6,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4_0,BS278,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5_0,BS279,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6_0,BS281,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7_0,BS282,8,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8_0,BS283,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,BS287,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa_0,BS292,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,BS293,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac_0,BS294,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad_0,BS295,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae_0,BS296,6,5,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af_0,BS297,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0_0,BS299,7,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1_0,BS301,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2_0,BS303,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3_0,BS304,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4_0,BS306,8,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5_0,BS309,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
