"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire"
"119","BS045",2007,"SESE",25,452605.770703505,478,39,"dolan_chalk",0,0
"120","BS045",2007,"UMCA",9,801.645255177874,478,39,"dolan_chalk",0,0
"121","BS045",2009,"LIDE",1,21948.1688379438,478,39,"dolan_chalk",0,1
"122","BS045",2009,"UMCA",1,3.40052178683963,478,39,"dolan_chalk",0,1
"123","BS046",2007,"QUAG",7,156079.265939232,575,36,"dolan_chalk",0,0
"124","BS046",2007,"UMCA",23,51061.6245131878,575,36,"dolan_chalk",0,0
"125","BS046",2009,"UMCA",3,5182.03467782545,575,36,"dolan_chalk",0,1
"126","BS046",2011,"QUAG",6,152713.234735234,575,36,"dolan_chalk",0,1
"127","BS046",2011,"UMCA",43,51585.245244569,575,36,"dolan_chalk",0,1
"128","BS046",2014,"QUAG",5,66755.4234977052,575,36,"dolan_chalk",0,1
"129","BS046",2014,"UMCA",59,57953.8546016373,575,36,"dolan_chalk",0,1
"130","BS046",2019,"QUAG",5,66394.0224263703,575,36,"dolan_chalk",1,1
"131","BS046",2019,"UMCA",61,70642.8307357053,575,36,"dolan_chalk",1,1
"132","BS046",2021,"QUAG",4,66036.8326502366,575,36,"dolan_chalk",1,1
"133","BS046",2021,"UMCA",8,53468.7971932647,575,36,"dolan_chalk",1,1
"134","BS047",2007,"QUAG",13,372360.070339289,679,33,"dolan_chalk",0,0
"135","BS047",2011,"QUAG",12,384220.898370203,679,33,"dolan_chalk",0,1
"136","BS047",2014,"QUAG",11,277428.087355969,679,33,"dolan_chalk",0,1
"137","BS047",2019,"QUAG",17,285860.668260991,679,33,"dolan_chalk",0,1
"138","BS047",2021,"QUAG",8,267496.598761761,679,33,"dolan_chalk",0,1
"139","BS047",2021,"QUAG",8,267496.598761761,679,33,"dolan_chalk",0,1
"140","BS048",2007,"LIDE",5,127.771041768566,475,20,"dolan_chalk",0,0
"141","BS048",2007,"PSME",1,11555.7843854786,475,20,"dolan_chalk",0,0
"142","BS048",2007,"QUAG",1,11.7976993402948,475,20,"dolan_chalk",0,0
"143","BS048",2007,"SESE",16,122098.11451111,475,20,"dolan_chalk",0,0
"144","BS048",2007,"UMCA",2,33.1165730604551,475,20,"dolan_chalk",0,0
"145","BS048",2021,"ARME",3,29.917781008369,475,20,"dolan_chalk",0,1
"146","BS048",2021,"LIDE",18,171.016398536781,475,20,"dolan_chalk",0,1
"147","BS048",2021,"PSME",1,25168.3932903984,475,20,"dolan_chalk",0,1
"148","BS048",2021,"SESE",20,141243.736175011,475,20,"dolan_chalk",0,1
"149","BS048",2021,"UMCA",2,30.8781687909256,475,20,"dolan_chalk",0,1
"150","BS050",2007,"LIDE",48,840.428199130972,670,18,"dolan_chalk",0,0
"151","BS050",2007,"SESE",74,423460.594560135,670,18,"dolan_chalk",0,0
"152","BS050",2009,"LIDE",16,560.501176691261,670,18,"dolan_chalk",0,1
"153","BS050",2009,"SESE",26,2471.72479346302,670,18,"dolan_chalk",0,1
"154","BS050",2021,"SESE",14,407886.2834096,670,18,"dolan_chalk",0,1
"155","BS052",2007,"LIDE",26,133094.497628453,541,32,"dolan_chalk",0,0
"156","BS052",2007,"SESE",66,250028.914329512,541,32,"dolan_chalk",0,0
"157","BS052",2007,"UMCA",8,51180.6576062537,541,32,"dolan_chalk",0,0
"158","BS052",2009,"SESE",3,28632.8252646954,541,32,"dolan_chalk",0,1
"159","BS052",2010,"LIDE",3,146172.931756693,541,32,"dolan_chalk",0,1
"160","BS052",2010,"SESE",9,216816.657444953,541,32,"dolan_chalk",0,1
"161","BS052",2010,"UMCA",5,46609.9154002795,541,32,"dolan_chalk",0,1
"162","BS052",2013,"LIDE",25,152088.327855958,541,32,"dolan_chalk",0,1
"163","BS052",2013,"SESE",47,233095.122426654,541,32,"dolan_chalk",0,1
"164","BS052",2013,"UMCA",26,683.671312159855,541,32,"dolan_chalk",0,1
"165","BS052",2018,"LIDE",34,70728.543950816,541,32,"dolan_chalk",0,1
"166","BS052",2018,"SESE",61,221631.235016782,541,32,"dolan_chalk",0,1
"167","BS052",2018,"UMCA",30,2861.88822563952,541,32,"dolan_chalk",0,1
"168","BS052",2021,"SESE",10,216251.534180023,541,32,"dolan_chalk",0,1
"169","BS052",2021,"UMCA",9,25.0411231335992,541,32,"dolan_chalk",0,1
"170","BS053",2007,"LIDE",4,270.244306810884,317,38,"dolan_chalk",0,0
"171","BS053",2007,"PSME",1,38704.9122929021,317,38,"dolan_chalk",0,0
"172","BS053",2007,"SESE",14,817933.963637935,317,38,"dolan_chalk",0,0
"173","BS053",2007,"UMCA",8,12403.7084741635,317,38,"dolan_chalk",0,0
"174","BS053",2009,"SESE",1,32495.9964486742,317,38,"dolan_chalk",0,1
