Plot,SampleYear,Species,DecayClass,VolumePlot,Density,MassPlot
BS165,2022,LIDE,1,5.527606513,0.581745587,3.215660696
BS166,2023,LIDE,1,0.455326731,0.581745587,0.264884316
BS168,2018,LIDE,1,6.654599353,0.581745587,3.871283807
BS168,2023,LIDE,1,2.090623136,0.581745587,1.216210783
BS195,2011,LIDE,1,0.093658731,0.581745587,0.054485553
BS195,2014,LIDE,1,1.472050533,0.581745587,0.856358901
BS220,2009,LIDE,1,0.257618452,0.581745587,0.149868398
BS222,2009,LIDE,1,9.645617041,0.581745587,5.611295147
BS241,2023,LIDE,1,1.562112454,0.581745587,0.908752027
BS242,2013,LIDE,1,0.397517343,0.581745587,0.23125396
BS242,2018,LIDE,1,3.180381937,0.581745587,1.850173157
BS242,2022,LIDE,1,6.792699053,0.581745587,3.951622698
BS273,2014,LIDE,1,0.324734652,0.581745587,0.188912951
BS273,2019,LIDE,1,0.324734652,0.581745587,0.188912951
BS273,2022,LIDE,1,0.324734652,0.581745587,0.188912951
BS278,2021,LIDE,1,1.855482387,0.581745587,1.07941869
BS283,2013,LIDE,1,3.10739198,0.581745587,1.807711571
BS283,2018,LIDE,1,0.204203522,0.581745587,0.118794498
BS296,2021,LIDE,1,1.250885708,0.581745587,0.72769724
BS297,2009,LIDE,1,2.417993545,0.581745587,1.406657074
BS297,2010,LIDE,1,2.417993545,0.581745587,1.406657074
BS297,2013,LIDE,1,2.474542212,0.581745587,1.439554012
BS297,2018,LIDE,1,3.615159014,0.581745587,2.103102803
BS301,2013,LIDE,1,0.532261861,0.581745587,0.309640989
BS301,2018,LIDE,1,0.532261861,0.581745587,0.309640989
BS313,2010,LIDE,1,1.167044651,0.581745587,0.678923076
BS313,2022,LIDE,1,1.437422171,0.581745587,0.836214005
BS328,2019,LIDE,1,0.365156896,0.581745587,0.212428413
BS328,2022,LIDE,1,2.7091075,0.581745587,1.576011333
BS355,2013,LIDE,1,0.155377596,0.581745587,0.090390231
BS355,2018,LIDE,1,0.08917018,0.581745587,0.051874359
BS360,2014,LIDE,1,4.009194272,0.581745587,2.332331075
BS390,2018,LIDE,1,0.464110781,0.581745587,0.269994399
BS390,2022,LIDE,1,2.722961217,0.581745587,1.584070672
BS407,2010,LIDE,1,2.921286584,0.581745587,1.699445579
BS423,2021,LIDE,1,0.180315637,0.581745587,0.104897826
BS426,2013,LIDE,1,1.572469225,0.581745587,0.914777032
BS426,2021,LIDE,1,0.180315637,0.581745587,0.104897826
BS427,2019,LIDE,1,1.201932886,0.581745587,0.699219152
BS427,2023,LIDE,1,1.201932886,0.581745587,0.699219152
BS429,2010,LIDE,1,1.699915785,0.581745587,0.988918506
BS429,2013,LIDE,1,1.715378623,0.581745587,0.997913944
BS429,2018,LIDE,1,0.533536327,0.581745587,0.310382404
BS429,2022,LIDE,1,0.703136542,0.581745587,0.40904658
BS433,2018,LIDE,1,0.525284109,0.581745587,0.305581712
BS433,2022,LIDE,1,2.425698811,0.581745587,1.411139579
BS457,2009,LIDE,1,1.196054392,0.581745587,0.695799364
BS457,2010,LIDE,1,0.891696896,0.581745587,0.518740734
BS457,2013,LIDE,1,2.363019718,0.581745587,1.374676293
BS494,2022,LIDE,1,0.042786096,0.581745587,0.024890623
BS521,2018,LIDE,1,4.928702086,0.581745587,2.867250688
BS521,2022,LIDE,1,2.141956642,0.581745587,1.246073824
BS600,2023,LIDE,1,2.651802847,0.581745587,1.542674604
BS603,2013,LIDE,1,2.97626634,0.581745587,1.731429809
BS603,2022,LIDE,1,1.032978677,0.581745587,0.600930787
BS611,2013,LIDE,1,0.324915293,0.581745587,0.189018038
BS613,2018,LIDE,1,1.441008966,0.581745587,0.838300607
BS629,2018,LIDE,1,3.096064968,0.581745587,1.801122132
BS632,2018,LIDE,1,0.547504751,0.581745587,0.318508473
BS632,2023,LIDE,1,0.547504751,0.581745587,0.318508473
BS027,2018,LIDE,2,3.924253704,0.460996013,1.809065312
BS027,2022,LIDE,2,2.704757651,0.460996013,1.246882493
BS045,2009,LIDE,2,3.442813662,0.460996013,1.587123372
BS053,2013,LIDE,2,0.178842073,0.460996013,0.082445483
BS053,2018,LIDE,2,0.178842073,0.460996013,0.082445483
BS066,2019,LIDE,2,0.087721121,0.460996013,0.040439087
BS078,2023,LIDE,2,0.281107728,0.460996013,0.129589542
BS081,2018,LIDE,2,0.16637266,0.460996013,0.076697133
BS081,2023,LIDE,2,0.096088557,0.460996013,0.044296442
BS084,2010,LIDE,2,0.177082742,0.460996013,0.081634438
BS084,2013,LIDE,2,0.670570435,0.460996013,0.309130297
