system:index,NDVI,Plot,albedo,.geo
000000000000000000bd_0,0.75957763,BS321,0.08753649,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be_0,0.7627324,BS322,0.07720744,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf_0,0.6915768,BS323,0.084269315,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0_0,0.68897265,BS324,0.07478571,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1_0,0.7601553,BS326,0.074056804,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2_0,0.69689846,BS328,0.058601804,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3_0,0.6952251,BS330,0.08911796,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4_0,0.79510015,BS331,0.074401475,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5_0,0.83221304,BS333,0.058983512,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6_0,0.7981829,BS334,0.057068493,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7_0,0.80163014,BS335,0.05478386,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8_0,0.71743906,BS338,0.07126464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9_0,0.7324676,BS355,0.07348272,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca_0,0.7063771,BS358,0.09173556,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb_0,0.7265508,BS359,0.0679044,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc_0,0.7216033,BS360,0.0728823,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd_0,0.6400842,BS365,0.07394392,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce_0,0.6370716,BS372,0.1052262,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf_0,0.6516324,BS373,0.09782278,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0_0,0.71565396,BS376,0.070915245,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1_0,0.75089955,BS378,0.07281179,"{""type"":""MultiPoint"",""coordinates"":[]}"
