"","Plot","Species","StemId","SampleYear","Status","DBH","Biomass"
"109","BS002","LIDE","5201-3",2006,"L",1.5,0.292275136779262
"110","BS002","QUAG","5202-1",2006,"L",29.4,417.050784633451
"111","BS002","LIDE","5203-1",2006,"L",1.8,0.456113885852293
"112","BS002","LIDE","5204-1",2006,"L",7.2,13.449363540506
"113","BS002","LIDE","5205-1",2006,"L",3,1.58710657871372
"114","BS002","SESE","5206-2",2006,"L",3.5,1.28989394559199
"115","BS002","SESE","5206-3",2006,"L",2.1,0.374792554368593
"116","BS002","SESE","5206-1",2006,"L",3,0.888333922727411
"117","BS002","SESE","5206-4",2006,"L",3.7,1.47552116139317
"118","BS002","SESE","5206-5",2006,"L",2,0.333060742197326
"119","BS002","SESE","5207-1",2006,"L",3.4,1.2025263756981
"120","BS002","SESE","5207-2",2006,"L",4.4,2.2439600551487
"121","BS002","LIDE","5169-1",2010,"L",12.5,51.7023699431327
"122","BS002","LIDE","5169-2",2010,"L",2.1,0.664492995750567
"123","BS002","LIDE","5169-3",2010,"L",2.8,1.3411145169556
"124","BS002","SESE","5171-1",2010,"L",117.3,6321.90421321089
"125","BS002","SESE","5172-1",2010,"L",96.3,3922.52005477111
"126","BS002","SESE","5173-1",2010,"L",58.6,1179.2602314746
"127","BS002","SESE","5173-2",2010,"D",6.9,6.66464077779994
"128","BS002","SESE","5173-3",2010,"L",1.6,0.194110786391515
"129","BS002","SESE","5175-1",2010,"L",6.2,5.14485410443663
"130","BS002","SESE","5176-1",2010,"L",8.7,11.6774550089159
"131","BS002","SESE","5176-2",2010,"L",5.4,3.68305388526318
"132","BS002","SESE","5176-3",2010,"D",5.1,3.20735780944779
"133","BS002","QUAG","5177-1",2010,"L",1.6,0.342144833769874
"134","BS002","QUAG","5178-1",2010,"L",3.3,2.00283714040288
"135","BS002","LIDE","5179-1",2010,"L",47.3,1331.34053054437
"136","BS002","LIDE","5179-2",2010,"L",43.5,1085.1890060076
"137","BS002","LIDE","5179-3",2010,"L",2.2,0.744400871591095
"138","BS002","LIDE","5179-4",2010,"D",5.5,6.96912788718508
"139","BS002","SESE","5180-1",2010,"L",58.6,1179.2602314746
"140","BS002","SESE","5180-2",2010,"D",3.2,1.03846471236
"141","BS002","LIDE","5181-1",2010,"L",2.1,0.664492995750567
"142","BS002","LIDE","5182-1",2010,"L",8.3,19.0292964800887
"143","BS002","LIDE","5182-2",2010,"L",8.2,18.474501250816
"144","BS002","LIDE","5183-1",2010,"L",19.5,153.083222352322
"145","BS002","LIDE","5183-2",2010,"L",20,162.842337765817
"146","BS002","LIDE","5183-3",2010,"L",3.2,1.85790800590469
"147","BS002","LIDE","5183-4",2010,"L",1.8,0.456113885852293
"148","BS002","LIDE","5183-5",2010,"L",1.6,0.342144833769874
"149","BS002","UMCA","5184-1",2010,"L",4.3,3.69978842018278
"150","BS002","UMCA","5184-2",2010,"L",7.3,13.2704155705803
"151","BS002","UMCA","5184-3",2010,"L",4.8,4.82466255086907
"152","BS002","UMCA","5184-4",2010,"L",3.2,1.81345134365565
"153","BS002","UMCA","5184-5",2010,"L",9.1,22.588222500666
"154","BS002","UMCA","5184-6",2010,"L",2,0.583315012041558
"155","BS002","UMCA","5184-7",2010,"L",2.1,0.656204627860613
"156","BS002","UMCA","5184-8",2010,"D",1.5,0.291332208029085
"157","BS002","UMCA","5184-9",2010,"L",5.6,6.998897455751
"158","BS002","UMCA","5184-10",2010,"L",7.8,15.5711027170589
"159","BS002","UMCA","5184-12",2010,"L",3.2,1.81345134365565
"160","BS002","QUAG","5185-2",2010,"D",1.6,0.342144833769874
"161","BS002","QUAG","5185-3",2010,"L",56.1,2019.1633438477
"162","BS002","UMCA","5186-1",2010,"L",7.6,14.6249674165974
"163","BS002","UMCA","5186-2",2010,"L",10.4,31.1769784410338
"164","BS002","UMCA","5187-1",2010,"L",8.2,17.5684899638266
"165","BS002","UMCA","5187-2",2010,"L",9.6,25.700562672852
"166","BS002","UMCA","5187-3",2010,"L",6.1,8.60327798331691
"167","BS002","UMCA","5187-4",2010,"L",7.6,14.6249674165974
"168","BS002","UMCA","5187-5",2010,"L",5.7,7.30432778494509
"169","BS002","UMCA","5187-6",2010,"L",4.4,3.91085585429987
"170","BS002","UMCA","5187-7",2010,"L",3.1,1.67969581691502
"171","BS002","UMCA","5187-8",2010,"L",12.1,44.9276185791962
"172","BS002","UMCA","5187-9",2010,"L",9.4,24.4273814363675
"173","BS002","UMCA","5187-10",2010,"L",11,35.696072254279
"174","BS002","UMCA","5187-11",2010,"L",3.6,2.40964070000616
"175","BS002","UMCA","5187-12",2010,"L",3.8,2.74548590630944
"176","BS002","LIDE","5189-1",2010,"L",7.2,13.449363540506
"177","BS002","LIDE","5189-2",2010,"L",14,68.1791596785712
"178","BS002","LIDE","5190-1",2010,"L",4.3,3.82163854988089
"179","BS002","QUAG","5191-1",2010,"L",44,1115.88924634984
"180","BS002","UMCA","5192-1",2010,"L",9.5,25.059236887234
"181","BS002","UMCA","5192-2",2010,"L",8.7,20.2660578149364
"182","BS002","UMCA","5192-3",2010,"L",7.5,14.1648771360449
"183","BS002","UMCA","5192-4",2010,"L",6.8,11.1820446987312
"184","BS002","UMCA","5192-5",2010,"L",6.3,9.2998514812921
"185","BS002","UMCA","5192-6",2010,"L",6,8.26684657266223
"186","BS002","UMCA","5192-7",2010,"L",6.7,10.7893128519226
"187","BS002","UMCA","5192-8",2010,"L",5.7,7.30432778494509
"188","BS002","UMCA","5192-9",2010,"L",4.6,4.35372446326977
"189","BS002","UMCA","5192-10",2010,"L",4.3,3.69978842018278
"190","BS002","UMCA","5192-11",2010,"L",4,3.10726892646389
"191","BS002","UMCA","5192-12",2010,"L",3.8,2.74548590630944
"192","BS002","UMCA","5192-13",2010,"L",3.7,2.57435648375487
"193","BS002","UMCA","5192-14",2010,"L",3.5,2.25126633144134
"194","BS002","UMCA","5192-15",2010,"L",2.9,1.4299885276022
"195","BS002","UMCA","5192-16",2010,"L",3.1,1.67969581691502
"196","BS002","UMCA","5192-17",2010,"L",2.6,1.0987089078123
"197","BS002","LIDE","5193-1",2010,"L",8.6,20.7521849132269
"198","BS002","LIDE","5193-2",2010,"L",3.5,2.31218833229391
"199","BS002","LIDE","5193-3",2010,"L",2.3,0.829718467997097
"200","BS002","LIDE","5193-4",2010,"L",22.7,221.825886847528
"201","BS002","LIDE","5193-5",2010,"L",4.4,4.04223066498717
"202","BS002","UMCA","5194-1",2010,"L",3,1.55190162879332
"203","BS002","QUAG","5195-1",2010,"L",21.7,198.724457190284
"204","BS002","LIDE","5196-1",2010,"L",2.7,1.22719070557491
"205","BS002","LIDE","5196-4",2010,"L",2.6,1.11918801672578
"206","BS002","LIDE","5196-5",2010,"L",32.1,516.811171834677
"207","BS002","LIDE","5196-6",2010,"L",3.3,2.00283714040288
"208","BS002","LIDE","5196-7",2010,"L",1.1,0.137085857673919
"209","BS002","LIDE","5196-8",2010,"L",1.5,0.292275136779262
"210","BS002","LIDE","5197-1",2010,"L",11.5,42.1809675479834
"211","BS002","LIDE","5197-2",2010,"L",1.6,0.342144833769874
"212","BS002","LIDE","5198-1",2010,"L",3.8,2.82621286129429
"213","BS002","LIDE","5198-2",2010,"L",4.9,5.25680346469522
"214","BS002","LIDE","5198-3",2010,"L",3,1.58710657871372
"215","BS002","LIDE","5198-4",2010,"L",1.6,0.342144833769874
"216","BS002","LIDE","5198-5",2010,"L",2.5,1.0170087049861
"217","BS002","LIDE","5198-6",2010,"L",7.4,14.3796308445422
"218","BS002","LIDE","5198-7",2010,"L",1.3,0.206105144454348
"219","BS002","LIDE","5199-1",2010,"L",8,17.3938518745948
"220","BS002","LIDE","5199-2",2010,"L",9.8,28.5453886148513
"221","BS002","LIDE","5199-3",2010,"L",2.5,1.0170087049861
"222","BS002","LIDE","5199-4",2010,"L",1.4,0.246974232314965
"223","BS002","LIDE","5199-5",2010,"L",1.3,0.206105144454348
"224","BS002","QUAG","5200-1",2010,"D",1.2,0.169525303542629
"225","BS002","LIDE","5201-1",2010,"L",9.7,27.8395949605145
"226","BS002","LIDE","5201-2",2010,"L",1.4,0.246974232314965
"227","BS002","LIDE","5201-3",2010,"L",1.8,0.456113885852293
"228","BS002","QUAG","5202-1",2010,"L",27.8,363.80315068039
"229","BS002","LIDE","5203-1",2010,"L",1.8,0.456113885852293
"230","BS002","LIDE","5203-2",2010,"L",1.1,0.137085857673919
"231","BS002","LIDE","5205-1",2010,"L",3.1,1.71936073174508
"232","BS002","LIDE","5204-1",2010,"L",8.1,17.9293704338858
"233","BS002","SESE","5206-1",2010,"L",2.8,0.751761755194112
"234","BS002","SESE","5206-2",2010,"L",3.3,1.11873145336199
"235","BS002","SESE","5206-3",2010,"L",1.6,0.194110786391515
"236","BS002","SESE","5206-4",2010,"L",3.7,1.47552116139317
"237","BS002","SESE","5206-5",2010,"L",1.4,0.140520003947142
"238","BS002","SESE","5206-6",2010,"L",1.3,0.117453864844666
"239","BS002","SESE","5207-1",2010,"L",3.4,1.2025263756981
"240","BS002","SESE","5207-2",2010,"L",4.1,1.89152424502604
"241","BS002","LIDE","5169-1",2013,"L",13.2,59.057366261436
"242","BS002","LIDE","5169-2",2013,"L",2,0.589884967014742
"243","BS002","LIDE","5169-3",2013,"L",2.8,1.3411145169556
"244","BS002","SESE","5171-1",2013,"L",121.1,6828.86654261138
"245","BS002","SESE","5172-1",2013,"L",98.2,4112.3977768206
"246","BS002","SESE","5173-1",2013,"L",59.8,1238.53956792668
"247","BS002","SESE","5173-2",2013,"D",7.8,8.96611411946433
"248","BS002","SESE","5173-3",2013,"L",1.6,0.194110786391515
"249","BS002","SESE","5175-1",2013,"L",6.2,5.14485410443663
"250","BS002","SESE","5175-2",2013,"L",1.7,0.224777344540502
"251","BS002","SESE","5176-1",2013,"L",9.2,13.3679871450428
"252","BS002","SESE","5176-2",2013,"L",5.7,4.19778879817399
"253","BS002","QUAG","5177-1",2013,"L",1.6,0.342144833769874
"254","BS002","QUAG","5178-1",2013,"L",3.3,2.00283714040288
"255","BS002","LIDE","5179-1",2013,"L",50.3,1546.96525885717
"256","BS002","LIDE","5179-2",2013,"L",46.9,1304.02530213863
"257","BS002","LIDE","5179-3",2013,"L",2.3,0.829718467997097
"258","BS002","LIDE","5179-4",2013,"D",4.2,3.60831652218644
"259","BS002","SESE","5180-1",2013,"L",60.1,1253.62647702243
"260","BS002","SESE","5180-2",2013,"D",2.7,0.688439845361756
"261","BS002","LIDE","5181-1",2013,"L",2.6,1.11918801672578
"262","BS002","LIDE","5182-1",2013,"L",9.9,29.2616370429606
"263","BS002","LIDE","5182-2",2013,"L",8.5,20.1680870293184
"264","BS002","LIDE","5183-1",2013,"L",23.4,238.896076400237
"265","BS002","LIDE","5183-2",2013,"L",22.8,224.218824093374
"266","BS002","LIDE","5183-3",2013,"L",3.3,2.00283714040288
"267","BS002","LIDE","5183-4",2013,"L",1.7,0.396715278125435
"268","BS002","LIDE","5183-5",2013,"L",1.1,0.137085857673919
"269","BS002","UMCA","5184-1",2013,"L",4.9,5.07081381503519
"270","BS002","UMCA","5184-2",2013,"L",8,16.5521544655192
"271","BS002","UMCA","5184-3",2013,"L",5.1,5.58478644490839
"272","BS002","UMCA","5184-4",2013,"L",3.3,1.95324695541263
"273","BS002","UMCA","5184-5",2013,"L",10.4,31.1769784410338
"274","BS002","UMCA","5184-6",2013,"L",1.9,0.515398950782585
"275","BS002","UMCA","5184-7",2013,"L",1.9,0.515398950782585
"276","BS002","UMCA","5184-8",2013,"D",1.5,0.291332208029085
"277","BS002","UMCA","5184-9",2013,"D",5.7,7.30432778494509
"278","BS002","UMCA","5184-10",2013,"L",8.4,18.620471164153
"279","BS002","UMCA","5184-12",2013,"L",3.8,2.74548590630944
"280","BS002","QUAG","5185-2",2013,"D",1.5,0.292275136779262
"281","BS002","QUAG","5185-3",2013,"L",54.8,1906.84965393009
"282","BS002","UMCA","5186-1",2013,"L",8.5,19.1599406006976
"283","BS002","UMCA","5186-2",2013,"L",11,35.696072254279
"284","BS002","UMCA","5187-1",2013,"L",9,21.993832485465
"285","BS002","UMCA","5187-2",2013,"L",11.6,40.5773732960358
"286","BS002","UMCA","5187-3",2013,"L",6.5,10.0283912322074
"287","BS002","UMCA","5187-4",2013,"L",8.2,17.5684899638266
"288","BS002","UMCA","5187-5",2013,"L",5.7,7.30432778494509
"289","BS002","UMCA","5187-6",2013,"L",4.4,3.91085585429987
"290","BS002","UMCA","5187-7",2013,"L",3.2,1.81345134365565
"291","BS002","UMCA","5187-8",2013,"L",12.8,51.4585192156057
"292","BS002","UMCA","5187-9",2013,"L",9.5,25.059236887234
"293","BS002","UMCA","5187-10",2013,"L",10.7,33.3917619475957
"294","BS002","UMCA","5187-11",2013,"L",3.5,2.25126633144134
"295","BS002","UMCA","5187-12",2013,"L",4,3.10726892646389
"296","BS002","UMCA","5187-13",2013,"D",2.6,1.0987089078123
"297","BS002","UMCA","5187-14",2013,"D",1.1,0.13782259792802
"298","BS002","UMCA","5187-15",2013,"D",1.1,0.13782259792802
"299","BS002","LIDE","5189-1",2013,"L",7.2,13.449363540506
"300","BS002","LIDE","5189-2",2013,"L",16.3,98.8332442253559
"301","BS002","LIDE","5190-1",2013,"L",5.5,6.96912788718508
"302","BS002","LIDE","5190-4",2013,"L",2.7,1.22719070557491
"303","BS002","QUAG","5191-1",2013,"L",43.5,1085.1890060076
"304","BS002","UMCA","5192-1",2013,"L",9.9,27.6817715395356
"305","BS002","UMCA","5192-2",2013,"L",9.2,23.1919159627937
"306","BS002","UMCA","5192-3",2013,"L",8.1,17.0558890010224
"307","BS002","UMCA","5192-4",2013,"L",7.4,13.7133756932051
"308","BS002","UMCA","5192-5",2013,"L",6.8,11.1820446987312
"309","BS002","UMCA","5192-6",2013,"L",6.7,10.7893128519226
"310","BS002","UMCA","5192-7",2013,"L",5.9,7.93824730505257
"311","BS002","UMCA","5192-8",2013,"L",5.8,7.61742596246021
"312","BS002","UMCA","5192-9",2013,"L",4.8,4.82466255086907
"313","BS002","UMCA","5192-10",2013,"L",4.6,4.35372446326977
"314","BS002","UMCA","5192-11",2013,"L",4.2,3.49554564422528
"315","BS002","UMCA","5192-12",2013,"L",4.2,3.49554564422528
"316","BS002","UMCA","5192-13",2013,"L",4.2,3.49554564422528
"317","BS002","UMCA","5192-14",2013,"L",3.7,2.57435648375487
"318","BS002","UMCA","5192-15",2013,"L",3,1.55190162879332
"319","BS002","UMCA","5192-16",2013,"L",3,1.55190162879332
"320","BS002","UMCA","5192-17",2013,"D",2.7,1.20347656274536
"321","BS002","UMCA","5192-19",2013,"D",1.3,0.206256173816291
"322","BS002","LIDE","5193-1",2013,"L",8.7,21.3461523500536
"323","BS002","LIDE","5193-2",2013,"L",3.7,2.64809473307714
"324","BS002","LIDE","5193-3",2013,"L",2.2,0.744400871591095
"325","BS002","LIDE","5193-4",2013,"L",24.6,269.9141828588
"326","BS002","LIDE","5193-5",2013,"L",4.2,3.60831652218644
"327","BS002","LIDE","5193-6",2013,"D",1.3,0.206105144454348
"328","BS002","UMCA","5194-1",2013,"L",3.3,1.95324695541263
"329","BS002","QUAG","5195-1",2013,"L",21.4,192.084857525841
"330","BS002","LIDE","5196-1",2013,"L",2.8,1.3411145169556
"331","BS002","LIDE","5196-4",2013,"L",4.3,3.82163854988089
"332","BS002","LIDE","5196-5",2013,"L",31.3,485.933496524374
"333","BS002","LIDE","5196-6",2013,"L",3.3,2.00283714040288
"334","BS002","LIDE","5196-7",2013,"L",2.3,0.829718467997097
"335","BS002","LIDE","5196-8",2013,"L",1.5,0.292275136779262
"336","BS002","LIDE","5197-1",2013,"L",12.3,49.7063056582217
"337","BS002","LIDE","5197-2",2013,"L",1.5,0.292275136779262
"338","BS002","LIDE","5198-1",2013,"L",4.8,4.9987678678079
"339","BS002","LIDE","5198-2",2013,"L",5.8,7.93379256553027
"340","BS002","LIDE","5198-3",2013,"L",3.2,1.85790800590469
"341","BS002","LIDE","5198-4",2013,"L",1.8,0.456113885852293
"342","BS002","LIDE","5198-5",2013,"L",2.6,1.11918801672578
"343","BS002","LIDE","5198-6",2013,"L",7.8,16.3514410970395
"344","BS002","LIDE","5198-7",2013,"L",1.6,0.342144833769874
"345","BS002","LIDE","5199-1",2013,"L",8.4,19.5938079220491
"346","BS002","LIDE","5199-2",2013,"L",10.7,35.3735714787916
"347","BS002","LIDE","5199-3",2013,"L",2.5,1.0170087049861
"348","BS002","LIDE","5199-4",2013,"L",1.4,0.246974232314965
"349","BS002","LIDE","5199-5",2013,"L",1.5,0.292275136779262
"350","BS002","LIDE","5199-6",2013,"L",1.6,0.342144833769874
"351","BS002","QUAG","5200-1",2013,"D",1.4,0.246974232314965
"352","BS002","LIDE","5201-1",2013,"L",11.3,40.4126741954987
"353","BS002","LIDE","5201-2",2013,"L",1.5,0.292275136779262
"354","BS002","LIDE","5201-3",2013,"L",1.9,0.520463944690823
"355","BS002","QUAG","5202-1",2013,"L",27,338.77554871695
