Plot,SampleYear,Elevation,Slope,BurnScar,PRam,Fire,Easting,Northing
BS085,2019,505,30,sober,1,1,602438,4024359
BS085,2022,505,30,sober,1,1,602438,4024359
BS086,2006,578,28,sober,1,0,602890,4024147
BS086,2018,578,28,sober,1,1,602890,4024147
BS086,2018,578,28,sober,1,1,602890,4024147
BS086,2023,578,28,sober,1,1,602890,4024147
BS087,2006,508,27,control,1,0,601771,4024235
BS088,2006,1000,9,sober_chalk,0,0,607990,4024536
BS089,2006,1034,11,sober,0,0,607972,4025274
BS090,2006,956,17,sober,0,0,607955,4025755
BS092,2006,916,31,sober,0,0,607268,4026200
BS092,2019,916,31,sober,0,1,607268,4026200
BS092,2022,916,31,sober,0,1,607268,4026200
BS094,2009,771,27,sober,1,0,601013.529,4035364.483
BS094,2006,771,27,sober,1,0,601013.529,4035364.483
BS094,2023,771,27,sober,1,1,601013.529,4035364.483
BS098,2007,478,39,sober,1,0,602305.332,4028021.105
BS098,2018,478,39,sober,1,1,602305.332,4028021.105
BS098,2023,478,39,sober,1,1,602305.332,4028021.105
BS102,2006,521,38,control,1,0,603818,4026771
BS103,2006,480,32,sober,1,0,603621,4026587
BS111,2006,670,37,sober,1,0,602915,4031241
BS112,2006,870,33,sober,1,0,603720,4030896
BS118,2006,412,28,sober,1,0,601602,4030378
BS119,2006,576,38,sober,1,0,602268.074,4030499.073
BS121,2006,926,32,sober,1,0,604035,4031348
BS122,2006,742,29,sober,1,0,603598,4031595
BS122,2019,742,29,sober,1,1,603598,4031595
BS122,2019,742,29,sober,1,1,603598,4031595
BS123,2006,293,17,sober,1,0,599059,4037885
BS123,2018,293,17,sober,1,1,599059,4037885
BS123,2023,293,17,sober,1,1,599059,4037885
BS124,2009,353,23,sober,1,0,599424,4037568
BS124,2006,353,23,sober,1,0,599424,4037568
BS124,2010,353,23,sober,1,0,599424,4037568
BS124,2013,353,23,sober,1,0,599424,4037568
BS124,2018,353,23,sober,1,1,599424,4037568
BS124,2023,353,23,sober,1,1,599424,4037568
BS125,2006,380,20,control,1,0,599761,4037866
BS126,2009,297,30,control,1,0,600308.365,4038264.293
BS126,2006,297,30,control,1,0,600308.365,4038264.293
BS126,2011,297,30,control,1,0,600308.365,4038264.293
BS126,2014,297,30,control,1,0,600308.365,4038264.293
BS128,2006,291,0,control,1,0,600902,4037554
BS129,2006,340,25,control,1,0,599660,4038950
BS130,2009,242,3,control,1,0,599965.393,4039512.366
BS130,2006,242,3,control,1,0,599965.393,4039512.366
BS130,2010,242,3,control,1,0,599965.393,4039512.366
BS130,2013,242,3,control,1,0,599965.393,4039512.366
BS130,2018,242,3,control,1,0,599965.393,4039512.366
BS131,2009,223,25,control,0,0,600198.595,4040061.025
BS131,2006,223,25,control,0,0,600198.595,4040061.025
BS131,2010,223,25,control,0,0,600198.595,4040061.025
BS131,2013,223,25,control,1,0,600198.595,4040061.025
BS131,2018,223,25,control,1,0,600198.595,4040061.025
BS132,2009,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2006,538,30,sober_chalk,1,0,602278.796,4023369.551
BS132,2011,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2011,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2014,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2014,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2019,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2019,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2022,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2022,538,30,sober_chalk,1,1,602278.796,4023369.551
BS132,2022,538,30,sober_chalk,1,1,602278.796,4023369.551
BS133,2006,653,26,sober_chalk,1,0,602996,4023653
BS134,2006,513,27,sober,1,0,602094,4023991
BS134,2018,513,27,sober,1,1,602094,4023991
BS134,2023,513,27,sober,1,1,602094,4023991
BS135,2006,433,27,sober,1,0,601498,4023708
BS137,2006,258,18,control,1,0,600907,4023125
BS138,2009,291,26,control,1,0,601774.259,4039619.681
BS138,2006,291,26,control,1,0,601774.259,4039619.681
BS139,2006,294,11,control,1,0,601842,4039028
BS140,2009,293,15,sober,1,0,601463.555,4038058.157
BS140,2007,293,15,sober,1,0,601463.555,4038058.157
BS140,2010,293,15,sober,1,0,601463.555,4038058.157
BS140,2013,293,15,sober,1,0,601463.555,4038058.157
BS140,2018,293,15,sober,1,1,601463.555,4038058.157
BS140,2022,293,15,sober,1,1,601463.555,4038058.157
BS141,2009,276,40,sober,1,0,602030,4038130.858
BS141,2006,276,40,sober,1,0,602030,4038130.858
BS141,2011,276,40,sober,1,0,602030,4038130.858
BS141,2014,276,40,sober,1,0,602030,4038130.858
BS141,2019,276,40,sober,1,1,602030,4038130.858
BS141,2022,276,40,sober,1,1,602030,4038130.858
BS144,2007,488,32,control,0,0,605922.146,4036546.705
BS146,2009,704,35,sober,1,0,600963.727,4035905.021
BS146,2006,704,35,sober,1,0,600963.727,4035905.021
BS146,2011,704,35,sober,1,0,600963.727,4035905.021
BS146,2014,704,35,sober,1,0,600963.727,4035905.021
BS146,2019,704,35,sober,1,1,600963.727,4035905.021
BS146,2022,704,35,sober,1,1,600963.727,4035905.021
BS147,2009,399,36,sober,1,0,599733.177,4036743.426
BS147,2006,399,36,sober,1,0,599733.177,4036743.426
BS147,2010,399,36,sober,1,0,599733.177,4036743.426
BS147,2013,399,36,sober,1,0,599733.177,4036743.426
BS147,2018,399,36,sober,1,1,599733.177,4036743.426
BS147,2022,399,36,sober,1,1,599733.177,4036743.426
BS148,2009,870,28,sober,1,0,601146.882,4034805.869
BS148,2006,870,28,sober,1,0,601146.882,4034805.869
BS148,2019,870,28,sober,1,1,601146.882,4034805.869
BS148,2019,870,28,sober,1,1,601146.882,4034805.869
BS148,2023,870,28,sober,1,1,601146.882,4034805.869
BS148,2023,870,28,sober,1,1,601146.882,4034805.869
BS149,2006,759,22,sober,1,0,600637.845,4034715.052
BS149,2023,759,22,sober,1,1,600637.845,4034715.052
BS149,2023,759,22,sober,1,1,600637.845,4034715.052
BS150,2006,854,23,sober,0,0,601495.318,4034205.033
BS150,2011,854,23,sober,1,0,601495.318,4034205.033
BS150,2014,854,23,sober,1,0,601495.318,4034205.033
BS150,2019,854,23,sober,1,1,601495.318,4034205.033
BS150,2019,854,23,sober,1,1,601495.318,4034205.033
BS150,2022,854,23,sober,1,1,601495.318,4034205.033
BS150,2022,854,23,sober,1,1,601495.318,4034205.033
BS151,2006,490,10,sober,1,0,602922,4035849
BS152,2006,389,18,sober,1,0,602869,4036357
BS156,2009,403,34,sober_chalk,1,1,607465.652,4018706.971
BS156,2007,403,34,sober_chalk,1,0,607465.652,4018706.971
BS156,2010,403,34,sober_chalk,1,1,607465.652,4018706.971
BS156,2018,403,34,sober_chalk,1,1,607465.652,4018706.971
BS157,2007,325,23,sober_chalk,1,0,607079.22,4018299.782
BS158,2009,635,13,sober_chalk,0,1,606392.997,4023552.059
BS158,2006,635,13,sober_chalk,0,0,606392.997,4023552.059
BS158,2011,635,13,sober_chalk,0,1,606392.997,4023552.059
BS158,2014,635,13,sober_chalk,0,1,606392.997,4023552.059
BS158,2019,635,13,sober_chalk,1,1,606392.997,4023552.059
BS158,2022,635,13,sober_chalk,1,1,606392.997,4023552.059
BS159,2009,250,28,sober,1,0,607496.841,4022405.719
BS159,2007,250,28,sober,1,0,607496.841,4022405.719
BS159,2018,250,28,sober,1,1,607496.841,4022405.719
BS159,2023,250,28,sober,1,1,607496.841,4022405.719
BS160,2009,386,38,sober_chalk,0,1,607860.254,4021163.711
BS160,2007,386,38,sober_chalk,0,0,607860.254,4021163.711
BS160,2010,386,38,sober_chalk,0,1,607860.254,4021163.711
BS160,2013,386,38,sober_chalk,0,1,607860.254,4021163.711
BS160,2018,386,38,sober_chalk,0,1,607860.254,4021163.711
BS160,2022,386,38,sober_chalk,0,1,607860.254,4021163.711
BS161,2006,1126,27,sober_chalk,0,0,615490,4021872
BS162,2006,1180,36,sober_chalk,0,0,615236,4022445
BS163,2006,1201,37,sober_chalk,0,0,614910,4023045
BS165,2009,287,10,sober_chalk,0,1,608429.551,4020760.565
BS165,2007,287,10,sober_chalk,0,0,608429.551,4020760.565
BS165,2010,287,10,sober_chalk,0,1,608429.551,4020760.565
BS165,2013,287,10,sober_chalk,0,1,608429.551,4020760.565
BS165,2018,287,10,sober_chalk,0,1,608429.551,4020760.565
BS165,2022,287,10,sober_chalk,0,1,608429.551,4020760.565
BS166,2009,352,25,sober_chalk,0,1,608391.163,4021141.591
BS166,2007,352,25,sober_chalk,0,0,608391.163,4021141.591
BS166,2018,352,25,sober_chalk,0,1,608391.163,4021141.591
BS166,2023,352,25,sober_chalk,0,1,608391.163,4021141.591
BS167,2007,409,36,sober_chalk,1,0,608558.154,4020238.36
BS168,2009,317,35,sober_chalk,1,1,609107.642,4020657.628
BS168,2007,317,35,sober_chalk,1,0,609107.642,4020657.628
BS168,2010,317,35,sober_chalk,1,1,609107.642,4020657.628
BS168,2018,317,35,sober_chalk,1,1,609107.642,4020657.628
BS168,2023,317,35,sober_chalk,1,1,609107.642,4020657.628
BS172,2006,1117,32,sober_chalk,0,0,612766,4024834
BS175,2009,511,25,sober_chalk,1,1,607609.175,4019517.407
BS175,2007,511,25,sober_chalk,1,0,607609.175,4019517.407
BS175,2010,511,25,sober_chalk,1,1,607609.175,4019517.407
BS175,2011,511,25,sober_chalk,1,1,607609.175,4019517.407
BS175,2014,511,25,sober_chalk,1,1,607609.175,4019517.407
BS175,2019,511,25,sober_chalk,1,1,607609.175,4019517.407
BS175,2019,511,25,sober_chalk,1,1,607609.175,4019517.407
BS176,2007,516,28,sober_chalk,1,0,608485.246,4018968.088
BS177,2007,540,36,sober_chalk,1,0,608613.318,4018688.18
BS186,2006,235,22,control,1,0,605341,4014407
BS187,2009,114,16,chalk,1,1,605313.034,4015778.925
BS187,2006,114,16,chalk,1,0,605313.034,4015778.925
BS187,2010,114,16,chalk,1,1,605313.034,4015778.925
BS187,2013,114,16,chalk,1,1,605313.034,4015778.925
BS187,2018,114,16,chalk,1,1,605313.034,4015778.925
BS187,2022,114,16,chalk,1,1,605313.034,4015778.925
BS188,2009,259,28,control,1,0,605734.735,4013894.192
BS188,2006,259,28,control,1,0,605734.735,4013894.192
BS188,2011,259,28,control,1,0,605734.735,4013894.192
BS188,2014,259,28,control,1,0,605734.735,4013894.192
BS190,2009,79,8,chalk,1,1,604813.567,4016301.679
BS190,2006,79,8,chalk,1,0,604813.567,4016301.679
BS190,2018,79,8,chalk,1,1,604813.567,4016301.679
BS193,2009,413,27,sober_chalk,1,1,605197.985,4017725.445
BS193,2006,413,27,sober_chalk,1,0,605197.985,4017725.445
BS193,2023,413,27,sober_chalk,1,1,605197.985,4017725.445
BS194,2009,417,38,sober_chalk,1,1,605590,4017510
BS194,2006,417,38,sober_chalk,1,0,605590,4017510
BS194,2011,417,38,sober_chalk,1,1,605590,4017510
BS194,2014,417,38,sober_chalk,1,1,605590,4017510
